 ,WEEK,WEIGHT,STATE,ETRO,REGION,DIVISION,OWNHOME,MARITAL,EMPLOY,HHNUM,ADULTS,KIDS1217,KIDS611,KIDS06,PARENT,AGE,AGE2,EDUC2,EDUC,INCOME,RACE,PARTYROT,PARTY,IDEOROT,IDEO,REGIST,C3A,SEX,IDENT,L1,C1,C1A,USBORN,USLIVE,RELIG,RELIGOPEN,DENOM,DENOMOPEN,BORN,JEWID,SECULAR,JDENOM,YEAR,DEMH1,DEMNHV,DATE,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6,Q7,Q8,I_EMPLOY,I_MARITAL,I_RACE
90000264,849,0.6878,FL,1,3,5,2,6,6,2,2,,,,2,64,,1,1,1,2,1,3,1,5,2,,1,2,,2,7,,,1,,,,1,,,,16,2,,161208,1,2,2,1,1,0,0,0,0,0,0,0,3,1,1,6,4,2
90000266,849,1.429,FL,2,3,5,1,5,1,2,2,,,,2,73,,3,2,12,1,1,2,2,4,1,,2,2,,2,1,,,90,,,,,2,2,,16,1,3,161208,1,1,2,2,1,0,0,0,0,0,0,0,3,3,2,1,5,1
90000267,849,1.2186,NV,1,4,8,2,3,8,3,3,,,,2,55,,6,4,1,3,1,2,2,1,2,,2,4,,2,1,3,24,2,,,,,,,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,2,9,2,6,3,3
90000268,849,1.1675,MA,3,1,1,1,3,1,2,2,,,,2,58,,6,4,6,1,1,1,2,3,1,1,2,2,,1,1,,,15,,6,,1,,,,16,1,1,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,1,9,1,3,1
90000272,849,1.6261,ID,2,4,8,2,1,1,2,2,,,,2,20,,3,2,5,1,1,1,1,3,2,,1,2,,2,1,,,22,,13,,1,,,,16,1,3,161208,3,2,2,2,1,0,0,0,0,0,0,0,2,1,1,1,1,1
90000276,849,1.5796,OH,,2,3,1,1,1,2,2,,,,2,31,,5,3,3,1,1,3,1,3,2,,1,2,,2,1,,,95,,,,,2,,,16,2,,161208,2,2,2,2,1,0,0,0,0,0,0,0,2,1,2,1,1,1
90000277,849,2.9779,IA,5,2,4,1,3,4,5,2,3,0,0,2,42,,2,1,9,10,1,3,2,8,2,,1,2,,2,1,,,90,,,,,2,2,,16,2,,161208,1,2,2,2,1,0,0,0,0,0,0,0,2,2,2,4,3,5
90000278,849,1.4534,MS,3,3,6,1,3,7,3,3,,,,2,58,,3,2,99,2,1,8,1,9,1,1,1,2,,1,1,,,90,,,,,2,1,,16,1,3,161208,3,2,2,2,1,0,0,0,0,0,0,0,3,3,9,6,3,2
90000280,849,0.4617,GA,1,3,5,2,2,1,2,2,,,,2,32,,8,5,12,1,2,2,2,5,1,,1,2,,2,2,,,7,,,,,,,5,16,1,2,161208,1,2,2,2,0,0,1,0,0,0,0,0,,3,1,1,2,1
90000281,849,1.0485,NM,5,4,8,2,6,3,1,1,,,,2,58,,3,2,2,1,2,2,2,1,1,,1,2,,2,1,,,13,,,,1,,,,16,1,3,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,3,1,3,4,1
